text,created_at,id_str,retweet_count,favorite_count,in_reply_to_screen_name,geo,source,language,followers_count,id,name_at_tweet_time,screen_name,user_location,user_created_at,search_term_group,search_term
"A animação Batman: Caped Crusader chegará ao HBO Max em 2023.

A animação tem a produção de Matt Reeves, Bruce Timm… https://t.co/jVP7eiCJZN",2021-10-16 17:05:46,1449421320840781824,0,0,,,Twitter for Android,pt,1879,951601422088507392,Team Comics | #DCFanDome,teamcomicss,"São Paulo, Brasil",Thu Jan 11 23:47:13 +0000 2018,hbomax,hbo max
O #DCFanDome já começou com a legenda atrasada tipo a HBO Max no começo.,2021-10-16 17:03:20,1449420707495022606,0,1,,,Twitter for Android,pt,668,113075290,Renévola 🏳️‍🌈,Anger_boy,Osasco,Wed Feb 10 16:32:18 +0000 2010,hbomax,hbo max
"dc super hero girls é muito fofa, mas confesso que queria uma adaptação no dceu pela hbo max 👁️👄👁️",2021-10-16 17:00:19,1449419950414868481,0,0,,,Twitter for Android,pt,303,1424470951756959748,steven,rockmestable,são paulo,Sun Aug 08 20:42:07 +0000 2021,hbomax,hbo max
"@JonatasXB117 @Lancaster1222 Pior que a HBO Max tem o melhor catálogo, ao lado do PrimeVideo e Telecine. Bem que po… https://t.co/1Acw14GoyZ",2021-10-16 16:47:49,1449416802698776580,0,4,JonatasXB117,,Twitter for Android,pt,328,1090010919881633793,Figura Crazy #HaloInfinite,FiguraCrazy,"Itaim Paulista, São Paulo",Mon Jan 28 22:17:09 +0000 2019,hbomax,hbo max
@JonatasXB117 Imagina eu entrando na aba do HBO Max e vendo direto essa série como destaque. https://t.co/j8jwhwLSkJ,2021-10-16 16:44:44,1449416028358955008,0,6,JonatasXB117,,Twitter for Android,pt,328,1090010919881633793,Figura Crazy #HaloInfinite,FiguraCrazy,"Itaim Paulista, São Paulo",Mon Jan 28 22:17:09 +0000 2019,hbomax,hbo max
#DCFanDome | A série animada Batman: Caped Crusader irá estrear em 2023 no streaming do HBO Max 🦇 https://t.co/B81bKrB1Pg,2021-10-16 16:09:43,1449407217258610689,0,5,,,Twitter for Android,pt,3830,4442492673,Nerd Site,nerd_site,"São Paulo, Brasil",Thu Dec 10 23:43:05 +0000 2015,hbomax,hbo max
Da @monicabergamo: Falha técnica da HBO Max altera imagem e som de série de Bruno Barreto e de produções argentinas https://t.co/XZHqwVl1Dd,2021-10-16 15:53:01,1449403012116631559,2,32,,,Twitter Web App,pt,342331,17145115,Mauricio Stycer,mauriciostycer,São Paulo,Tue Nov 04 00:49:56 +0000 2008,hbomax,hbo max
"Não cheguei a testar na TV ainda, o delay do Star+ e do HBO Max nas smart TVs e agregadores da vida é menor?",2021-10-16 15:30:43,1449397401601523714,0,1,,,TweetDeck,pt,3995,88230087,"BITENCOURT, Caio",caiobtncrt,São Paulo,Sat Nov 07 17:32:13 +0000 2009,hbomax,hbo max
Alguem tem HBO max?,2021-10-16 15:00:54,1449389897048104968,0,0,,,Twitter for Android,pt,405,941863574867267585,Tolisso Cano🇮🇹 🏆🏆,Lhermeguivlw,"São Paulo, Brasil",Sat Dec 16 02:52:30 +0000 2017,hbomax,hbo max
Mal dei play no documentário da HBO Max sobre a Brittany Murphy e já espero que o espírito dela puxe o pé de todos… https://t.co/kgyACE5qEB,2021-10-16 14:15:49,1449378551191515140,1,11,,,Twitter Web App,pt,4956,36802106,Ieda Marcondes🏳️‍🌈🎃,iedamarcondes,São Paulo,Thu Apr 30 22:56:34 +0000 2009,hbomax,hbo max
"poxa, achei que eu ia acordar e já teria liga da justiça e liga da justiça sem limites no hbo max… fui iludida",2021-10-16 14:01:06,1449374849126785032,0,5,,,Twitter for iPhone,pt,503,785299652,❤️‍🔥,sxbrinw,"São Paulo, Brasil",Mon Aug 27 19:16:58 +0000 2012,hbomax,hbo max
Os mimos do #DCFanDome já começaram na HBO Max https://t.co/NTwtXBBVsS,2021-10-16 13:51:46,1449372498647293953,0,4,,,Twitter for Android,pt,1423,58911376,Diego Souza Carlos,diegaossc,"São Paulo, Brasil",Tue Jul 21 20:31:43 +0000 2009,hbomax,hbo max
